pull_request_file_name,v1_stimuli_name,V1_author_picname,v1_author,v2_stimuli_name,v2_author_picname,v2_author
https:__github.com_BVLC_caffe_pull_6598.png,2.png,./selected_WF_together/CFD-WF-223-133-N.jpg,F,24.png,./selected_WM_together/CFD-WM-014-002-N.jpg,M
https:__github.com_cloudwu_skynet_pull_181.png,21.png,./selected_WM_together/CFD-WM-208-068-N.jpg,M,25.png,./computer.png,C
https:__github.com_BVLC_caffe_pull_6599.png,16.png,./selected_WF_together/CFD-WF-201-156-N.jpg,F,26.png,./computer.png,C
https:__github.com_opencv_opencv_pull_13289.png,35.png,./selected_WM_together/CFD-WM-251-002-N.jpg,M,27.png,./computer.png,C
https:__github.com_facebook_hhvm_pull_8124.png,1.png,./selected_WF_together/CFD-WF-033-002-N.jpg,F,28.png,./computer.png,C
https:__github.com_cocos2d_cocos2d-x_pull_19143.png,22.png,./selected_WM_together/CFD-WM-244-003-N.jpg,M,29.png,./computer.png,C
https:__github.com_ocornut_imgui_pull_1573.png,23.png,./selected_WM_together/CFD-WM-018-002-N.jpg,M,3.png,./selected_WF_together/CFD-WF-023-003-N.jpg,F
https:__github.com_facebook_yoga_pull_761.png,28.png,./computer.png,C,30.png,./selected_WF_together/CFD-WF-241-210-N.jpg,F
https:__github.com_bitcoin_bitcoin_pull_15363.png,39.png,./selected_WM_together/CFD-WM-032-001-N.jpg,M,31.png,./selected_WF_together/CFD-WF-202-056-N.jpg,F
https:__github.com_cleanflight_cleanflight_pull_623.png,41.png,./computer.png,C,32.png,./selected_WF_together/CFD-WF-203-229-N.jpg,F
https:__github.com_cleanflight_cleanflight_pull_1319.png,42.png,./computer.png,C,33.png,./selected_WF_together/CFD-WF-037-029-N.jpg,F
https:__github.com_CRYTEK_CRYENGINE_pull_315.png,50.png,./selected_WM_together/CFD-WM-033-025-N.jpg,M,34.png,./selected_WF_together/CFD-WF-222-092-N.jpg,F
https:__github.com_antirez_redis_pull_569.png,30.png,./selected_WF_together/CFD-WF-247-065-N.jpg,F,35.png,./selected_WM_together/CFD-WM-214-026-N.jpg,M
https:__github.com_google_flatbuffers_pull_4793.png,29.png,./computer.png,C,36.png,./selected_WM_together/CFD-WM-234-118-N.jpg,M
https:__github.com_apple_swift_pull_22419.png,43.png,./computer.png,C,37.png,./selected_WM_together/CFD-WM-252-224-N.jpg,M
https:__github.com_grpc_grpc_pull_17775.png,33.png,./selected_WF_together/CFD-WF-222-092-N.jpg,F,38.png,./selected_WM_together/CFD-WM-040-022-N.jpg,M
https:__github.com_godotengine_godot_pull_25720.png,55.png,./computer.png,C,39.png,./selected_WM_together/CFD-WM-240-125-N.jpg,M
https:__github.com_BVLC_caffe_pull_6364.png,13.png,./computer.png,C,4.png,./selected_WF_together/CFD-WF-009-001-N.jpg,F
https:__github.com_facebook_hhvm_pull_7940.png,38.png,./selected_WM_together/CFD-WM-216-061-N.jpg,M,40.png,./computer.png,C
https:__github.com_googlei18n_libphonenumber_pull_2251.png,31.png,./selected_WF_together/CFD-WF-023-003-N.jpg,F,41.png,./computer.png,C
https:__github.com_ocornut_imgui_pull_2220.png,32.png,./selected_WF_together/CFD-WF-013-003-N.jpg,F,42.png,./computer.png,C
https:__github.com_antirez_redis_pull_2413.png,51.png,./selected_WM_together/CFD-WM-204-031-N.jpg,M,43.png,./computer.png,C
https:__github.com_pytorch_pytorch_pull_16974.png,34.png,./selected_WF_together/CFD-WF-235-121-N.jpg,F,44.png,./computer.png,C
https:__github.com_facebook_osquery_pull_5167.png,11.png,./computer.png,C,45.png,./selected_WF_together/CFD-WF-223-133-N.jpg,F
https:__github.com_bagder_curl_pull_179.png,56.png,./computer.png,C,46.png,./selected_WF_together/CFD-WF-251-014-N.jpg,F
https:__github.com_facebook_yoga_pull_838.png,57.png,./computer.png,C,47.png,./selected_WF_together/CFD-WF-018-017-N.jpg,F
https:__github.com_BVLC_caffe_pull_6661.png,53.png,./selected_WM_together/CFD-WM-234-118-N.jpg,M,48.png,./selected_WF_together/CFD-WF-033-002-N.jpg,F
https:__github.com_bagder_curl_pull_13.png,54.png,./selected_WM_together/CFD-WM-014-002-N.jpg,M,49.png,./selected_WF_together/CFD-WF-013-003-N.jpg,F
https:__github.com_facebook_hhvm_pull_8362.png,0.png,./selected_WF_together/CFD-WF-014-002-N.jpg,F,5.png,./selected_WM_together/CFD-WM-033-025-N.jpg,M
https:__github.com_godotengine_godot_pull_25353.png,18.png,./selected_WF_together/CFD-WF-202-056-N.jpg,F,50.png,./selected_WM_together/CFD-WM-006-002-N.jpg,M
https:__github.com_arut_nginx-rtmp-module_pull_632.png,49.png,./selected_WF_together/CFD-WF-229-004-N.jpg,F,51.png,./selected_WM_together/CFD-WM-032-001-N.jpg,M
https:__github.com_openssl_openssl_pull_423.png,45.png,./selected_WF_together/CFD-WF-241-210-N.jpg,F,52.png,./selected_WM_together/CFD-WM-229-129-N.jpg,M
https:__github.com_BVLC_caffe_pull_6675.png,58.png,./computer.png,C,53.png,./selected_WM_together/CFD-WM-018-002-N.jpg,M
https:__github.com_facebook_hhvm_pull_8400.png,59.png,./computer.png,C,54.png,./selected_WM_together/CFD-WM-244-003-N.jpg,M
https:__github.com_antirez_redis_pull_2203.png,46.png,./selected_WF_together/CFD-WF-219-038-N.jpg,F,55.png,./computer.png,C
https:__github.com_facebook_folly_pull_1004.png,52.png,./selected_WM_together/CFD-WM-036-031-N.jpg,M,56.png,./computer.png,C
https:__github.com_arut_nginx-rtmp-module_pull_611.png,47.png,./selected_WF_together/CFD-WF-249-126-N.jpg,F,57.png,./computer.png,C
https:__github.com_arut_nginx-rtmp-module_pull_612.png,48.png,./selected_WF_together/CFD-WF-251-014-N.jpg,F,58.png,./computer.png,C
https:__github.com_facebook_hhvm_pull_8320.png,36.png,./selected_WM_together/CFD-WM-214-026-N.jpg,M,59.png,./computer.png,C
https:__github.com_facebook_folly_pull_399.png,3.png,./selected_WF_together/CFD-WF-203-229-N.jpg,F,6.png,./selected_WM_together/CFD-WM-013-001-N.jpg,M
https:__github.com_BVLC_caffe_pull_6601.png,44.png,./computer.png,C,7.png,./selected_WM_together/CFD-WM-212-097-N.jpg,M
https:__github.com_cocos2d_cocos2d-x_pull_18733.png,12.png,./computer.png,C,8.png,./selected_WM_together/CFD-WM-216-061-N.jpg,M
https:__github.com_godotengine_godot_pull_25516.png,4.png,./selected_WF_together/CFD-WF-009-001-N.jpg,F,9.png,./selected_WM_together/CFD-WM-026-001-N.jpg,M
